피렉스휘트니스,서울특별시 은평구 불광로 28 (대조동)
스포짐(SPOGYM),"서울특별시 영등포구 여의동로 213 (여의도동, 여의도금호리첸시아)"
제이원 휘트니스,"서울특별시 강남구 테헤란로20길 19 (역삼동,엘지 에클라트 지하 1층)"
아이케이 헬스케어,"서울특별시 영등포구 문래로 87 (문래동3가, 창대빌딩 3층)"
짐아서 휘트니스,"서울특별시 성동구 성수일로 39, 경동빌딩 지층 (성수동1가)"
짱휘트니스,서울특별시 강동구 강동대로53길 80 (성내동)
잭스 피트니스,서울특별시 강남구 논현로116길 6 (논현동)
J헬스클럽,"서울특별시 용산구 대사관로34길 26, 4층 (한남동)"
비바 휘트니스 망우점,"서울특별시 중랑구 용마산로 494, 4층 (망우동)"
H휘트니스,"서울특별시 송파구 가락로 171, 2층 (송파동)"
AB휘트니스클럽,서울특별시 종로구 성균관로 12 (명륜2가)
(H) 피트니스 2,"서울특별시 강서구 양천로 606, 8층 (등촌동, 준희빌딩)"
바디핏 휘트니스,"서울특별시 강남구 선릉로 619 (논현동,B1)"
주-스포짐,"서울특별시 종로구 사직로8길 34, B2층 (내수동)"
마크짐,"서울특별시 송파구 오금로 111, 지하1층층 (방이동)"
Fitness Tok,"서울특별시 도봉구 도당로 76, 3층 (방학동, 방학프라자)"
(주)데일리짐,"서울특별시 동작구 사당로 215 (사당동, 서림빌딩)"
자마이카휘트니스,"서울특별시 관악구 남부순환로 1820, 13층 (봉천동)"
블랙멀티짐,서울특별시 성북구 한천로76다길 43 (석관동)
FRASER PLACE,FRASER PLACE
루이 짐,"서울특별시 도봉구 해등로 48 (창동,주공3단지내 상가 지1)"
퍼플짐앤요가,서울특별시 금천구 독산로 217 (독산동)
드래곤힐스파휘트니스클럽,서울특별시 용산구 한강대로21나길 40 (한강로3가)
삼각산 헬스타운,서울특별시 강북구 삼양로 441 (수유동)
우정스포츠,"서울특별시 서초구 강남대로 359  (서초동,지하1층 B101호)"
안전지대 휘트니스 방배점,"서울특별시 서초구 동작대로 230 (방배동,(지하1층))"
증산스포츠센터 헬스장,"서울특별시 은평구 증산서길 61, 증산초등학교 (증산동)"
헬스 119,"서울특별시 동대문구 제기로 132 (청량리동,2층)"
에스엔비 휘트니스,서울특별시 동대문구 답십리로72길 18 (장안동)
메사 휘트니스 케어&골프,메사 휘트니스 케어&골프
금호스포츠센터,금호스포츠센터
플로리다 피트니스,"서울특별시 강북구 삼양로 161  (미아동,행전빌딩 4층)"
